timestamp,cpu_percent,mem_used_mb,latency_ms,throughput_mps
2025-05-31T19:24:00.150Z,0.00,15230.18,0.00,0.00
2025-05-31T19:24:01.162Z,18.32,15292.05,0.00,0.00
2025-05-31T19:24:02.168Z,19.12,15355.71,0.00,0.00
2025-05-31T19:24:03.152Z,14.95,15355.85,0.00,0.00
2025-05-31T19:24:04.164Z,54.03,15402.71,0.00,0.00
2025-05-31T19:24:05.165Z,75.67,15384.58,0.00,0.00
2025-05-31T19:24:06.214Z,68.05,15337.34,0.00,0.00
2025-05-31T19:24:07.155Z,31.11,15283.14,0.00,0.00
2025-05-31T19:24:08.163Z,10.70,15293.26,0.00,0.00
2025-05-31T19:24:09.160Z,9.58,15306.27,0.00,0.00
2025-05-31T19:24:10.169Z,21.55,15355.25,0.00,0.00
2025-05-31T19:24:11.179Z,45.83,15441.44,0.00,0.00
2025-05-31T19:24:12.191Z,96.34,15411.27,101.49,50.40
2025-05-31T19:24:13.181Z,91.02,15422.85,71.67,46.46
2025-05-31T19:24:14.186Z,81.03,15414.04,57.85,52.74
2025-05-31T19:24:15.174Z,89.02,15448.18,52.86,48.58
2025-05-31T19:24:16.200Z,83.59,15453.51,47.94,55.56
2025-05-31T19:24:17.188Z,92.97,15450.90,46.66,47.57
2025-05-31T19:24:18.174Z,81.21,15489.54,43.78,61.87
2025-05-31T19:24:19.192Z,82.95,15494.57,41.76,58.94
2025-05-31T19:24:20.170Z,92.87,15500.60,41.66,44.99
2025-05-31T19:24:21.188Z,92.43,15513.48,41.45,43.22
2025-05-31T19:24:22.191Z,100.00,15560.09,43.56,14.96
2025-05-31T19:24:23.174Z,100.00,15579.82,45.69,2.03
2025-05-31T19:24:24.253Z,99.87,15567.91,49.91,1.85
2025-05-31T19:24:25.187Z,100.00,15573.36,53.47,3.21
2025-05-31T19:24:26.168Z,100.00,15570.53,56.76,11.21
2025-05-31T19:24:27.175Z,99.61,15541.38,57.79,25.82
2025-05-31T19:24:28.182Z,93.46,15534.43,56.38,48.66
2025-05-31T19:24:29.182Z,86.64,15529.46,54.43,54.00
2025-05-31T19:24:30.205Z,90.39,15548.91,53.49,45.94
2025-05-31T19:24:31.193Z,88.80,15540.71,51.82,56.68
2025-05-31T19:24:32.191Z,92.58,15532.69,50.86,51.10
2025-05-31T19:24:33.185Z,93.76,15538.30,50.55,41.25
2025-05-31T19:24:34.171Z,82.93,15545.77,49.27,57.81
2025-05-31T19:24:35.174Z,90.10,15537.18,48.72,48.85
2025-05-31T19:24:36.164Z,64.20,15554.81,48.27,26.26
2025-05-31T19:24:37.164Z,21.10,15564.91,48.27,0.00
2025-05-31T19:24:38.162Z,4.82,15563.79,48.27,0.00
2025-05-31T19:24:39.192Z,5.77,15559.27,48.27,0.00
2025-05-31T19:24:40.161Z,8.10,15555.15,48.27,0.00
2025-05-31T19:24:41.160Z,5.09,15537.69,48.27,0.00
2025-05-31T19:24:42.175Z,12.94,15542.75,48.27,0.00
2025-05-31T19:24:43.165Z,32.21,15554.43,48.27,0.00
2025-05-31T19:24:44.161Z,5.15,15560.18,48.27,0.00
2025-05-31T19:24:45.172Z,11.47,15564.78,48.27,0.00
2025-05-31T19:24:46.158Z,8.56,15565.54,48.27,0.00
2025-05-31T19:24:47.163Z,15.98,15565.59,48.27,0.00
2025-05-31T19:24:48.153Z,7.12,15566.71,48.27,0.00
2025-05-31T19:24:49.161Z,6.64,15566.32,48.27,0.00
2025-05-31T19:24:50.162Z,11.17,15566.46,48.27,0.00
2025-05-31T19:24:51.154Z,8.07,15565.78,48.27,0.00
2025-05-31T19:24:52.157Z,12.23,15517.17,48.27,0.00
2025-05-31T19:24:53.160Z,6.78,15516.59,48.27,0.00
2025-05-31T19:24:54.153Z,16.26,15508.41,48.27,0.00
